Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2011/1/1,14078.34,0.00,59.11,86.35,--,00:00,1404.91,--,--
2011/1/2,14012.19,0.00,57.40,123.55,--,--,--,--,--
2011/1/3,13996.62,0.00,68.13,83.70,--,--,--,--,--
2011/1/4,14012.19,1.50,62.06,46.50,--,--,--,--,--
2011/1/5,14012.19,8.50,62.97,62.97,--,--,--,--,--
2011/1/6,14031.64,1.00,64.89,45.44,--,--,--,--,--
2011/1/7,13992.73,0.00,61.52,100.44,--,--,--,--,--
2011/1/8,13977.17,0.00,58.66,78.12,--,--,--,--,--
2011/1/9,13981.06,0.00,55.17,51.28,--,--,--,--,--
2011/1/10,13957.71,4.50,68.59,91.93,--,23:00,1404.59,13981.06,100 
2011/1/11,14016.08,10.00,95.57,37.20,--,23:00,1404.53,13957.71,99.58 
2011/1/12,14121.14,19.00,144.66,39.59,--,23:00,1404.68,14016.08,99.26 
2011/1/13,14196.19,0.50,118.36,43.31,--,09:00,1404.95,14121.14,99.47 
2011/1/14,14264.61,0.00,103.22,34.81,--,07:00,1404.95,14121.14,98.99 
2011/1/15,14230.40,0.00,74.46,108.67,--,23:00,1405.29,14264.61,100 
2011/1/16,14238.95,0.00,88.79,80.24,--,23:00,1405.21,14230.40,99.94 
2011/1/17,14320.19,0.00,86.56,5.31,--,11:00,1405.23,14238.95,99.43 
2011/1/18,14298.81,0.00,78.26,99.64,--,08:00,1405.42,14320.19,100 
2011/1/19,14290.26,0.00,91.09,99.64,--,08:00,1405.37,14298.81,100 
2011/1/20,14362.96,5.50,95.95,23.26,--,08:00,1405.35,14290.26,99.49 
2011/1/21,14392.87,13.50,99.97,70.03,--,08:00,1405.52,14362.96,99.79 
2011/1/22,14439.92,0.00,99.10,52.06,--,08:00,1405.59,14392.89,99.67 
2011/1/23,14409.99,0.00,83.71,113.64,--,08:00,1405.70,14439.92,100 
2011/1/24,14392.89,0.00,81.74,98.84,--,08:00,1405.63,14409.99,100 
2011/1/25,14422.82,0.00,91.77,61.84,--,08:00,1405.59,14392.89,99.79 
2011/1/26,14427.10,0.00,80.39,76.11,--,08:00,1405.66,14422.82,99.97 
2011/1/27,14384.34,0.00,68.24,111.00,--,08:00,1405.67,14427.10,100 
2011/1/28,14367.23,0.00,75.92,93.03,--,08:00,1405.57,14384.34,100 
2011/1/29,14328.75,2.50,71.78,110.27,--,08:00,1405.53,14367.23,100 
2011/1/30,14273.16,2.00,64.77,120.36,--,08:00,1405.44,14328.75,100 
2011/1/31,14268.88,0.00,83.14,87.42,--,08:00,1405.31,14273.16,100 
2011/2/1,14174.81,0.00,60.57,154.64,--,17:00,1405.31,14273.16,100 
2011/2/2,14109.47,0.00,50.51,115.85,--,10:00,1405.31,14273.16,100 
2011/2/3,14093.90,0.00,67.60,83.17,--,08:00,1404.92,14109.47,100 
2011/2/4,--,--,--,--,--,08:00,1404.88,14093.90,100 
2011/2/5,14043.32,0.00,58.57,74.13,--,08:00,1404.79,14058.88,100 
2011/2/6,14019.97,--,66.99,90.34,--,08:00,1404.75,14043.32,100 
2011/2/7,13965.49,--,75.72,130.19,--,08:00,1404.69,14019.97,100 
2011/2/8,13926.58,0.50,62.07,100.99,--,08:00,1404.55,13965.49,100 
2011/2/9,13868.21,0.00,62.92,121.29,--,23:00,1404.45,13926.58,100 
2011/2/10,13821.51,0.00,73.26,119.96,--,23:00,1404.30,13868.21,100 
2011/2/11,13786.49,--,64.36,99.38,--,23:00,1404.18,13821.51,100 
2011/2/12,13739.80,18.00,70.74,113.54,--,08:00,1404.09,13786.49,100 
2011/2/13,13751.47,11.50,86.21,74.54,--,08:00,1403.97,13739.80,99.92 
2011/2/14,13782.60,13.00,109.14,78.01,--,16:00,1404.00,13751.47,99.77 
2011/2/15,13782.60,6.00,97.41,120.76,--,23:00,1404.08,13782.60,100 
2011/2/16,13720.34,4.50,85.85,124.76,--,23:00,1404.02,13759.25,100 
2011/2/17,13689.21,0.00,89.89,121.02,--,23:00,1403.92,13720.34,100 
2011/2/18,13661.97,0.00,80.96,108.20,--,23:00,1403.84,13689.21,100 
2011/2/19,13658.08,11.00,96.03,99.92,--,23:00,1403.77,13661.97,100 
2011/2/20,15209.61,11.00,124.56,81.75,--,23:00,1403.76,13658.08,89.8 
2011/2/21,15209.61,0.00,116.50,54.23,--,23:00,1403.87,13700.88,90.08 
2011/2/22,15209.61,0.00,87.06,94.84,--,23:00,1404.03,13763.14,90.49 
2011/2/23,15209.61,0.00,81.31,120.22,--,23:00,1404.01,13755.36,90.44 
2011/2/24,15209.61,1.00,88.94,123.96,--,23:00,1404.01,13755.36,90.44 
2011/2/25,--,--,--,--,--,22:00,1403.82,13681.43,89.95 
2011/2/26,15209.61,0.00,90.39,129.31,--,08:00,1403.60,13595.82,89.39 
2011/2/27,15209.61,--,88.56,131.36,--,08:00,1403.50,13556.91,89.13 
2011/2/28,15209.61,0.00,64.03,157.42,--,08:00,1403.39,13514.10,88.85 
