Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2017/1/1,20134.00,0.00,116.73,179.88,-0.08,23:00,241.91,17571.62,87.27 
2017/1/2,20134.00,0.00,112.32,167.44,-0.07,23:00,241.85,17524.08,87.04 
2017/1/3,20134.00,1.10,97.55,160.36,-0.08,23:00,241.74,17437.15,86.61 
2017/1/4,20134.00,0.10,101.26,203.39,-0.13,23:00,241.63,17350.49,86.18 
2017/1/5,20134.00,0.40,101.78,156.38,-0.07,23:00,241.55,17287.64,85.86 
2017/1/6,20134.00,0.20,99.70,193.36,-0.12,23:00,241.45,17209.29,85.47 
2017/1/7,20134.00,0.00,95.73,181.35,-0.11,23:00,241.34,17123.37,85.05 
2017/1/8,20134.00,0.00,102.64,203.39,-0.13,23:00,241.19,17006.65,84.47 
2017/1/9,20134.00,0.10,87.35,203.39,-0.15,23:00,241.05,16898.18,83.93 
2017/1/10,20134.00,0.00,98.06,167.36,-0.09,23:00,240.95,16820.98,83.55 
2017/1/11,20134.00,0.00,90.89,190.77,-0.13,23:00,240.83,16728.63,83.09 
2017/1/12,20134.00,0.00,78.28,154.92,-0.08,23:00,240.72,16644.27,82.67 
2017/1/13,20134.00,0.60,88.39,156.99,-0.09,23:00,240.63,16575.45,82.33 
2017/1/14,20134.00,7.60,88.64,157.16,-0.09,23:00,240.54,16506.81,81.98 
2017/1/15,20134.00,3.00,113.01,203.99,-0.12,23:00,240.44,16430.77,81.61 
2017/1/16,20134.00,0.70,97.03,165.11,-0.09,23:00,240.34,16354.95,81.23 
2017/1/17,20134.00,0.00,97.11,180.06,-0.11,23:00,240.24,16279.35,80.86 
2017/1/18,20134.00,0.00,95.21,223.00,-0.17,23:00,240.07,16151.36,80.22 
2017/1/19,20134.00,0.10,94.44,176.77,-0.11,23:00,239.95,16061.41,79.77 
2017/1/20,20134.00,1.10,96.77,216.09,-0.16,23:00,239.80,15949.42,79.22 
2017/1/21,20134.00,0.00,84.41,188.35,-0.14,23:00,239.65,15837.93,78.66 
2017/1/22,20134.00,0.00,80.35,228.01,-0.20,23:00,239.46,15697.44,77.96 
2017/1/23,20134.00,0.00,87.35,204.77,-0.16,23:00,239.30,15579.76,77.38 
2017/1/24,20134.00,0.20,85.62,217.12,-0.18,23:00,239.12,15448.05,76.73 
2017/1/25,20134.00,1.40,86.14,216.86,-0.18,23:00,238.94,15317.05,76.08 
2017/1/26,20134.00,0.00,85.53,215.57,-0.18,23:00,238.76,15186.77,75.43 
2017/1/27,20134.00,0.00,95.64,224.90,-0.18,23:00,238.55,15035.68,74.68 
2017/1/28,20134.00,0.00,79.92,201.23,-0.17,23:00,238.39,14921.22,74.11 
2017/1/29,20134.00,0.00,85.10,177.55,-0.13,23:00,238.26,14828.63,73.65 
2017/1/30,20134.00,1.90,78.45,177.55,-0.14,23:00,238.13,14736.42,73.19 
