Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2014/1/1,9942.90,0.00,0.30,46.10,--,07:00,172.69,6545.20,65.83 
2014/1/2,9942.90,0.00,0.30,46.10,--,06:00,172.58,6499.40,65.37 
2014/1/3,9942.90,0.00,0.30,46.10,--,09:00,172.47,6453.60,64.91 
2014/1/4,9942.90,0.00,0.30,50.30,--,08:00,172.36,6407.80,64.45 
2014/1/5,9942.90,0.00,0.30,50.20,--,07:00,172.24,6357.80,63.94 
2014/1/6,9942.90,0.00,0.30,46.10,--,07:00,172.12,6307.90,63.44 
2014/1/7,9942.90,0.00,1.10,41.50,--,07:00,172.01,6262.10,62.98 
2014/1/8,9942.90,0.00,0.30,44.50,--,07:00,171.91,6221.70,62.57 
2014/1/9,9942.90,0.00,0.30,52.60,--,07:00,171.80,6177.50,62.13 
2014/1/10,9942.90,0.00,1.90,42.10,--,07:00,171.65,6117.13,61.52 
2014/1/11,9942.90,0.00,0.30,44.60,--,07:00,171.58,6085.00,61.2 
2014/1/12,9942.90,0.00,0.30,44.50,--,07:00,171.46,6040.70,60.75 
2014/1/13,9942.90,0.00,1.70,41.90,--,07:00,171.35,5996.50,60.31 
2014/1/14,9942.90,0.00,0.30,48.60,--,07:00,171.25,5956.30,59.91 
2014/1/15,9942.90,0.00,0.30,44.50,--,07:00,171.13,5908.00,59.42 
2014/1/16,9942.90,0.00,0.30,43.60,--,07:00,171.02,5863.80,58.97 
2014/1/17,9942.90,0.00,0.30,43.30,--,07:00,170.91,5820.51,58.54 
2014/1/18,9942.90,0.00,0.30,43.40,--,07:00,170.80,5777.50,58.11 
2014/1/19,9942.90,0.00,0.30,39.40,--,07:00,170.69,5734.40,57.67 
2014/1/20,9942.90,0.00,0.30,43.40,--,07:00,170.59,5695.30,57.28 
2014/1/21,9942.90,0.00,0.30,43.30,--,06:00,170.48,5652.21,56.85 
2014/1/22,9942.90,0.00,0.30,43.40,--,07:00,170.37,5609.20,56.41 
2014/1/23,9942.90,0.00,0.30,47.30,--,07:00,170.26,5566.10,55.98 
2014/1/24,9942.90,0.00,0.30,47.20,--,07:00,170.14,5519.10,55.51 
2014/1/25,9942.90,0.00,0.60,46.70,--,07:00,170.02,5472.20,55.04 
2014/1/26,9942.90,0.00,0.30,46.30,--,07:00,169.90,5426.10,54.57 
2014/1/27,9942.90,0.00,0.30,50.10,--,07:00,169.78,5380.10,54.11 
2014/1/28,9942.90,0.00,0.30,50.00,--,07:00,169.65,5330.30,53.61 
2014/1/29,9942.90,0.00,0.30,46.30,--,08:00,169.52,5280.60,53.11 
2014/1/30,9942.90,0.00,0.30,46.20,--,07:00,169.40,5234.60,52.65 
2014/1/31,9942.90,0.00,0.30,34.80,--,08:00,169.28,5188.70,52.18 
2014/2/1,9793.00,0.00,0.30,33.80,--,07:00,169.19,5154.20,52.63 
2014/2/2,9793.00,2.00,0.30,34.80,--,07:00,169.10,5119.80,52.28 
2014/2/3,9793.00,1.60,0.30,37.70,--,07:00,169.01,5085.30,51.93 
2014/2/4,9793.00,0.40,7.80,37.70,--,07:00,168.91,5047.90,51.55 
2014/2/5,9793.00,0.00,0.30,41.40,--,07:00,168.83,5018.00,51.24 
2014/2/6,9793.00,1.70,0.30,134.80,--,07:00,168.72,4976.90,50.82 
2014/2/7,9793.00,0.50,0.60,40.90,--,07:00,168.56,4842.40,49.45 
2014/2/8,9793.00,0.00,0.30,40.30,--,07:00,168.45,4802.40,49.04 
2014/2/9,9793.00,0.20,5.40,38.20,--,07:00,168.34,4762.40,48.63 
2014/2/10,9793.00,13.90,2.30,35.00,--,07:00,168.25,4729.60,48.3 
2014/2/11,9793.00,4.80,5.50,41.90,--,08:00,168.16,4696.90,47.96 
2014/2/12,9793.00,0.00,9.90,45.60,--,07:00,168.06,4660.50,47.59 
2014/2/13,9793.00,0.50,2.70,44.30,--,07:00,167.96,4624.80,47.23 
2014/2/14,9793.00,4.60,0.30,48.80,--,07:00,167.84,4583.20,46.8 
2014/2/15,9793.00,0.30,2.50,37.10,--,07:00,167.70,4534.70,46.31 
2014/2/16,9793.00,0.20,2.60,37.30,--,07:00,167.60,4500.10,45.95 
2014/2/17,9793.00,0.00,0.30,41.90,--,07:00,167.50,4465.40,45.6 
2014/2/18,9793.00,0.00,0.60,38.70,--,08:00,167.38,4423.80,45.17 
2014/2/19,9793.00,3.90,0.30,38.40,--,07:00,167.27,4385.70,44.78 
2014/2/20,9793.00,0.00,3.40,38.10,--,07:00,167.16,4347.60,44.39 
2014/2/21,9793.00,0.00,0.30,44.60,--,07:00,167.06,4312.90,44.04 
2014/2/22,9793.00,0.00,0.30,40.80,--,06:00,166.93,4268.60,43.59 
2014/2/23,9793.00,0.00,0.30,37.30,--,07:00,166.81,4228.10,43.17 
2014/2/24,9793.00,0.00,0.30,40.70,--,07:00,166.70,4191.10,42.8 
2014/2/25,9793.00,0.00,0.30,37.40,--,07:00,166.58,4150.70,42.38 
2014/2/26,9793.00,0.00,0.40,37.50,--,07:00,166.47,4113.60,42.01 
2014/2/27,9793.00,0.00,2.10,39.10,--,07:00,166.36,4076.50,41.63 
2014/2/28,9793.00,0.00,0.30,40.70,--,07:00,166.25,4039.50,41.25 
2014/3/1,9793.00,0.00,0.30,37.40,--,07:00,166.13,3999.10,40.84 
2014/3/2,9793.00,0.00,0.30,36.60,--,07:00,166.02,3962.00,40.46 
2014/3/3,9793.00,0.00,1.20,37.30,--,07:00,165.91,3925.70,40.09 
2014/3/4,9793.00,0.00,3.20,36.10,--,07:00,165.80,3889.60,39.72 
2014/3/5,9793.00,0.00,0.30,43.00,--,07:00,165.67,3846.80,39.28 
2014/3/6,9793.00,0.00,0.90,43.60,--,06:00,165.57,3814.00,38.95 
2014/3/7,9793.00,0.00,0.30,46.30,--,07:00,165.44,3771.30,38.51 
2014/3/8,9793.00,0.00,0.30,43.00,--,07:00,165.30,3725.30,38.04 
2014/3/9,9793.00,0.00,0.30,43.00,--,07:00,165.17,3682.60,37.6 
2014/3/10,9793.00,0.00,0.30,39.00,--,07:00,165.04,3639.90,37.17 
2014/3/11,9793.00,0.00,0.30,38.70,--,06:00,164.92,3601.20,36.77 
2014/3/12,9793.00,0.00,2.60,41.10,--,07:00,164.80,3562.80,36.38 
2014/3/13,9793.00,6.30,0.30,38.70,--,07:00,164.68,3524.30,35.99 
2014/3/14,9793.00,0.30,6.69,38.60,--,07:00,164.56,3485.90,35.6 
2014/3/15,9793.00,0.00,5.20,40.50,--,07:00,164.46,3453.90,35.27 
2014/3/16,9793.00,0.00,3.30,38.50,--,07:00,164.35,3418.60,34.91 
2014/3/17,9793.00,0.00,0.30,45.10,--,07:00,164.24,3383.40,34.55 
2014/3/18,9793.00,0.00,0.30,39.90,--,07:00,164.10,3338.60,34.09 
2014/3/19,9793.00,0.00,1.60,43.60,--,07:00,163.97,3299.00,33.69 
2014/3/20,9793.00,0.00,0.30,43.60,--,07:00,163.84,3257.00,33.26 
2014/3/21,9793.00,0.00,1.60,38.70,--,07:00,163.70,3213.70,32.82 
2014/3/22,9793.00,0.00,1.40,41.70,--,07:00,163.58,3176.60,32.44 
2014/3/23,9793.00,0.00,2.20,39.30,--,07:00,163.45,3136.30,32.03 
2014/3/24,9793.00,0.00,1.70,41.90,--,07:00,163.33,3099.20,31.65 
2014/3/25,9793.00,0.00,0.70,41.00,--,07:00,163.20,3059.00,31.24 
2014/3/26,9793.00,0.00,0.30,42.80,--,07:00,163.07,3018.73,30.83 
2014/3/27,9793.00,9.80,2.50,41.40,--,07:00,162.93,2976.20,30.39 
2014/3/28,9793.00,0.00,0.30,50.90,--,07:00,162.80,2937.30,29.99 
2014/3/29,9793.00,0.00,0.30,45.20,--,06:00,162.63,2886.70,29.48 
2014/3/30,9793.00,0.00,2.10,40.90,--,06:00,162.48,2841.80,29.02 
2014/3/31,9793.00,42.10,52.20,40.30,--,08:00,162.35,2803.00,28.62 
2014/4/1,9793.00,0.00,34.90,40.80,--,07:00,162.39,2814.90,28.74 
2014/4/2,9793.00,1.80,40.90,38.00,--,06:00,162.37,2809.00,28.68 
2014/4/3,9793.00,10.30,61.40,34.50,--,07:00,162.38,2811.90,28.71 
2014/4/4,9793.00,5.30,48.80,33.90,--,07:00,162.47,2838.80,28.99 
2014/4/5,9793.00,0.00,47.10,35.10,--,07:00,162.52,2853.70,29.14 
2014/4/6,9793.00,0.00,35.00,35.00,--,06:00,162.56,2865.70,29.26 
2014/4/7,9793.00,0.00,30.00,33.00,--,07:00,162.56,2865.70,29.26 
2014/4/8,9793.00,0.00,28.10,37.10,--,07:00,162.55,2862.70,29.23 
2014/4/9,9793.00,0.00,22.30,40.20,--,07:00,162.52,2853.70,29.14 
2014/4/10,9793.00,0.00,17.90,35.80,--,07:00,162.46,2835.80,28.96 
2014/4/11,9793.00,0.00,32.60,38.60,--,07:00,162.40,2817.90,28.77 
2014/4/12,9793.00,0.00,26.00,38.30,--,07:00,162.38,2811.90,28.71 
2014/4/13,9793.00,0.00,23.70,38.60,--,07:00,162.34,2800.00,28.59 
2014/4/14,9793.00,0.00,21.20,39.10,--,06:00,162.29,2785.10,28.44 
2014/4/15,9793.00,0.60,21.20,39.20,--,07:00,162.23,2767.20,28.26 
2014/4/16,9793.00,0.00,20.20,38.10,--,07:00,162.17,2749.20,28.07 
2014/4/17,9793.00,0.00,20.00,37.90,--,07:00,162.11,2731.30,27.89 
2014/4/18,9793.00,0.00,16.50,40.10,--,07:00,162.05,2713.40,27.71 
2014/4/19,9793.00,0.00,17.50,37.70,--,06:00,161.97,2689.80,27.47 
2014/4/20,9793.00,0.00,14.30,37.50,--,07:00,161.90,2669.60,27.26 
2014/4/21,9793.00,0.00,11.90,37.90,--,07:00,161.82,2646.40,27.02 
2014/4/22,9793.00,0.00,13.10,39.10,--,07:00,161.73,2620.40,26.76 
2014/4/23,9793.00,0.00,10.70,39.60,--,07:00,161.64,2594.40,26.49 
2014/4/24,9793.00,0.00,6.70,41.40,--,07:00,161.54,2565.50,26.2 
2014/4/25,9793.00,0.00,6.10,43.70,--,07:00,161.38,2519.20,25.72 
2014/4/26,9793.00,0.00,6.50,44.10,--,07:00,161.29,2493.20,25.46 
2014/4/27,9793.00,0.00,6.20,43.80,--,07:00,161.16,2455.60,25.08 
2014/4/28,9793.00,0.00,4.50,41.20,--,07:00,161.03,2418.00,24.69 
2014/4/29,9793.00,0.00,6.00,48.00,--,07:00,160.90,2381.30,24.32 
2014/4/30,9793.00,0.80,9.20,45.50,--,07:00,160.75,2339.30,23.89 
2014/5/1,9793.00,4.30,9.10,39.90,--,07:00,160.62,2303.00,23.52 
2014/5/2,9793.00,0.10,1.80,38.20,--,07:00,160.51,2272.20,23.2 
2014/5/3,9793.00,16.60,32.90,41.30,--,07:00,160.38,2235.80,22.83 
2014/5/4,9793.00,0.70,87.70,42.90,--,07:00,160.35,2227.40,22.74 
2014/5/5,9793.00,13.40,166.10,43.00,--,07:00,160.51,2272.20,23.2 
2014/5/6,9793.00,13.10,229.20,44.63,--,07:00,160.95,2395.30,24.46 
2014/5/7,9793.00,0.30,278.80,49.40,--,06:00,161.59,2579.90,26.34 
2014/5/8,9793.00,0.00,231.20,55.10,--,07:00,162.37,2809.00,28.68 
2014/5/9,9793.00,17.00,350.00,47.50,--,09:00,162.96,2985.10,30.48 
2014/5/10,9793.00,0.90,175.50,51.70,--,07:00,163.37,3111.60,31.77 
2014/5/11,9793.00,31.40,230.40,53.60,--,07:00,163.77,3235.40,33.04 
2014/5/12,9793.00,13.20,214.30,54.10,--,07:00,164.33,3412.20,34.84 
2014/5/13,9793.00,36.90,349.90,55.70,--,07:00,164.83,3572.40,36.48 
2014/5/14,9793.00,0.80,286.10,62.70,--,07:00,165.73,3866.60,39.48 
2014/5/15,9793.00,8.80,257.20,68.50,--,07:00,166.40,4090.00,41.76 
2014/5/16,9793.00,23.70,248.90,65.70,--,07:00,166.96,4278.70,43.69 
2014/5/17,9793.00,0.20,234.30,67.90,--,07:00,167.49,4461.90,45.56 
2014/5/18,9793.00,2.70,210.10,65.10,--,07:00,167.97,4628.30,47.26 
2014/5/19,9793.00,84.60,337.20,66.30,--,07:00,168.37,4773.30,48.74 
2014/5/20,9793.00,81.90,828.40,77.80,--,08:00,169.11,5044.20,51.51 
2014/5/21,9793.00,16.70,142.70,102.80,--,07:00,171.06,5794.80,59.17 
2014/5/22,9793.00,1.10,110.80,106.80,--,07:00,171.16,5834.70,59.58 
2014/5/23,9793.00,1.30,71.20,107.10,--,07:00,171.17,5838.70,59.62 
2014/5/24,9793.00,27.20,123.00,99.10,--,06:00,171.08,5802.80,59.25 
2014/5/25,9793.00,1.70,237.40,101.70,--,07:00,171.14,5826.70,59.5 
2014/5/26,9793.00,0.20,232.00,100.20,--,07:00,171.48,5962.40,60.88 
2014/5/27,9793.00,6.90,269.90,99.40,--,07:00,171.81,6094.20,62.23 
2014/5/28,9793.00,22.40,255.60,99.10,--,07:00,172.23,6264.70,63.97 
2014/5/29,9793.00,15.10,343.50,98.00,--,07:00,172.61,6421.20,65.57 
2014/5/30,9793.00,12.60,304.20,91.90,--,07:00,173.20,6666.70,68.08 
2014/5/31,9793.00,1.80,254.00,91.70,--,07:00,173.70,6879.00,70.24 
2014/6/1,9793.00,0.00,241.70,88.80,--,07:00,174.08,7041.30,71.9 
2014/6/2,9793.00,0.00,205.50,87.60,--,07:00,174.43,7194.20,73.46 
2014/6/3,9793.00,112.00,771.20,87.40,--,06:00,174.70,7312.10,74.67 
2014/6/4,9793.00,8.10,258.30,106.60,--,07:00,176.23,7995.90,81.65 
2014/6/5,9793.00,2.20,63.50,104.90,--,07:00,176.56,8147.60,83.2 
2014/6/6,9793.00,26.20,104.50,99.90,--,06:00,176.47,8106.20,82.78 
2014/6/7,9793.00,46.30,236.60,80.30,--,07:00,176.48,8110.80,82.82 
2014/6/8,9793.00,0.10,105.10,77.50,--,07:00,176.82,8267.10,84.42 
2014/6/9,9793.00,3.20,66.80,80.60,--,07:00,176.88,8294.70,84.7 
2014/6/10,9793.00,0.10,73.10,96.10,--,07:00,176.85,8280.90,84.56 
2014/6/11,9793.00,7.20,42.60,102.30,--,06:00,176.80,8257.90,84.32 
2014/6/12,9793.00,28.50,426.00,104.90,--,07:00,176.67,8198.20,83.71 
2014/6/13,9793.00,73.10,214.90,102.00,--,07:00,177.36,8519.30,86.99 
2014/6/14,9793.00,13.70,38.90,104.80,--,07:00,177.60,8632.20,88.15 
2014/6/15,9793.00,10.90,67.20,104.80,--,07:00,177.46,8566.30,87.47 
2014/6/16,9793.00,0.70,24.70,104.70,--,07:00,177.38,8528.70,87.09 
2014/6/17,9793.00,13.00,106.60,106.60,--,07:00,177.21,8448.70,86.27 
2014/6/18,9793.00,0.10,24.10,108.80,--,07:00,177.21,8448.70,86.27 
2014/6/19,9793.00,0.20,0.30,115.60,--,07:00,177.03,8364.00,85.41 
2014/6/20,9793.00,11.30,54.90,105.40,--,07:00,176.78,8248.70,84.23 
2014/6/21,9793.00,0.30,34.90,99.30,--,07:00,176.67,8198.20,83.71 
2014/6/22,9793.00,0.30,7.50,99.40,--,06:00,176.53,8133.80,83.06 
2014/6/23,9793.00,1.10,13.00,95.80,--,07:00,176.33,8041.90,82.12 
2014/6/24,9793.00,7.10,43.70,98.80,--,07:00,176.15,7959.10,81.27 
2014/6/25,9793.00,9.70,19.90,96.60,--,07:00,176.03,7904.00,80.71 
2014/6/26,9793.00,1.20,18.00,98.50,--,07:00,175.86,7827.60,79.93 
2014/6/27,9793.00,0.00,7.30,96.70,--,08:00,175.68,7747.10,79.11 
2014/6/28,9793.00,18.00,23.80,99.80,--,07:00,175.48,7657.70,78.2 
2014/6/29,9793.00,1.40,10.00,94.90,--,07:00,175.31,7581.70,77.42 
2014/6/30,9793.00,0.60,27.60,98.70,--,07:00,175.12,7496.80,76.55 
2014/7/1,9793.00,0.00,2.60,94.40,--,07:00,174.96,7425.70,75.83 
2014/7/2,9793.00,0.00,47.20,86.50,--,07:00,174.75,7333.90,74.89 
2014/7/3,9793.00,0.00,2.00,89.30,--,07:00,174.66,7294.60,74.49 
2014/7/4,9793.00,0.50,0.30,87.70,--,09:00,174.46,7207.30,73.6 
2014/7/5,9793.00,0.10,2.40,85.40,--,06:00,174.26,7119.90,72.7 
