Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2010/1/1,10158.50,2.80,1.40,38.20,--,00:00,171.65,5861.50,57.7 
2010/1/2,10158.50,0.00,0.30,37.40,--,00:00,171.56,5824.40,57.34 
2010/1/3,10158.50,1.50,2.20,34.90,--,00:00,171.48,5791.70,57.01 
2010/1/4,10158.50,6.70,16.70,37.20,--,00:00,171.43,5771.20,56.81 
2010/1/5,10158.50,0.00,0.30,37.20,--,00:00,171.34,5734.30,56.45 
2010/1/6,10158.50,0.00,0.30,37.10,--,00:00,171.25,5697.50,56.09 
2010/1/7,10158.50,0.00,0.30,41.30,--,00:00,171.15,5656.50,55.68 
2010/1/8,10158.50,0.30,0.30,41.20,--,00:00,171.05,5615.60,55.28 
2010/1/9,10158.50,4.50,2.10,38.50,--,00:00,170.96,5579.20,54.92 
2010/1/10,10158.50,0.00,3.70,31.60,--,00:00,170.89,5551.30,54.65 
2010/1/11,10158.50,0.00,0.30,36.20,--,00:00,170.80,5515.40,54.29 
2010/1/12,10158.50,0.00,0.30,40.20,--,00:00,170.70,5475.50,53.9 
2010/1/13,10158.50,0.00,0.30,44.10,--,00:00,170.59,5431.70,53.47 
2010/1/14,10158.50,0.00,0.30,44.20,--,00:00,170.48,5387.80,53.04 
2010/1/15,10158.50,0.00,1.90,38.80,--,00:00,170.39,5351.90,52.68 
2010/1/16,10158.50,0.00,2.50,38.30,--,00:00,170.30,5316.10,52.33 
2010/1/17,10158.50,0.00,0.30,40.20,--,00:00,170.20,5276.20,51.94 
2010/1/18,10158.50,0.00,0.30,36.20,--,00:00,170.11,5240.30,51.59 
2010/1/19,10158.50,0.00,0.30,36.20,--,00:00,170.02,5204.40,51.23 
2010/1/20,10158.50,0.00,0.30,39.40,--,00:00,169.92,5165.30,50.85 
2010/1/21,10158.50,0.00,0.30,39.30,--,00:00,169.82,5126.30,50.46 
2010/1/22,10158.50,0.00,0.30,43.20,--,00:00,169.71,5038.40,49.6 
2010/1/23,10158.50,0.00,0.30,39.30,--,00:00,169.61,5044.40,49.66 
2010/1/24,10158.50,0.00,0.30,35.40,--,00:00,169.52,5009.30,49.31 
2010/1/25,10158.50,0.00,0.30,35.40,--,00:00,169.43,4974.20,48.97 
2010/1/26,10158.50,0.00,0.30,35.30,--,00:00,169.34,4939.20,48.62 
2010/1/27,10158.50,0.00,0.30,35.40,--,00:00,169.25,4904.10,48.28 
2010/1/28,10158.50,0.00,0.30,39.30,--,00:00,169.15,4865.10,47.89 
2010/1/29,10158.50,0.00,0.30,39.30,--,00:00,169.05,4826.10,47.51 
2010/1/30,10158.50,0.00,0.30,35.00,--,00:00,168.96,4791.40,47.17 
2010/1/31,10158.50,0.00,0.30,34.40,--,00:00,168.87,4757.30,46.83 
2010/2/1,10158.50,0.00,0.30,38.20,--,00:00,168.77,4719.40,46.46 
2010/2/2,10158.50,0.00,0.30,34.40,--,00:00,168.68,4685.30,46.12 
2010/2/3,10158.50,0.00,0.30,38.20,--,00:00,168.58,4647.40,45.75 
