Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2006/1/1,33621.65,0.10,143.34,152.04,--,00:00,166.11,30553.00,90.87 
2006/1/2,33621.65,1.70,147.74,165.34,--,00:00,166.08,30526.80,90.8 
2006/1/3,33621.65,0.20,136.26,180.26,--,00:00,166.03,30483.20,90.67 
2006/1/4,33621.65,0.10,121.14,182.64,--,00:00,165.95,30069.20,89.43 
2006/1/5,33621.65,0.10,113.43,210.03,--,00:00,165.83,29877.00,88.86 
2006/1/6,33621.65,17.40,103.23,182.23,--,00:00,165.78,29833.20,88.73 
2006/1/7,33621.65,19.50,207.98,155.28,--,00:00,165.86,29903.40,88.94 
2006/1/8,33621.65,7.90,231.58,73.48,--,00:00,166.04,30061.50,89.41 
2006/1/9,33621.65,1.60,205.73,100.23,--,00:00,166.13,30140.70,89.65 
2006/1/10,33621.65,1.40,167.81,141.41,--,00:00,166.16,30167.10,89.73 
2006/1/11,33621.65,3.60,185.38,141.38,--,00:00,166.21,30211.10,89.86 
2006/1/12,33621.65,76.00,746.78,101.38,--,00:00,167.80,31624.30,94.06 
2006/1/13,33621.65,55.20,2348.20,443.70,--,00:00,169.11,32808.00,97.58 
2006/1/14,33621.65,0.00,682.55,646.15,--,00:00,168.97,32680.70,97.2 
2006/1/15,33621.65,0.10,371.97,653.47,--,00:00,168.62,32363.20,96.26 
2006/1/16,33621.65,2.70,263.53,652.43,--,00:00,168.19,31974.90,95.1 
2006/1/17,33621.65,3.00,244.88,649.68,--,00:00,167.71,31543.70,93.82 
2006/1/18,33621.65,8.40,202.42,623.02,--,00:00,167.44,31302.20,93.1 
2006/1/19,33621.65,0.40,182.69,369.99,--,00:00,167.21,31097.00,92.49 
2006/1/20,33621.65,0.30,156.03,369.43,--,00:00,166.97,30883.50,91.86 
2006/1/21,33621.65,2.30,148.64,370.44,--,00:00,166.71,30652.90,91.17 
2006/1/22,33621.65,15.00,139.13,289.53,--,00:00,166.56,30520.10,90.78 
2006/1/23,33621.65,25.30,228.35,290.25,--,00:00,166.59,30546.60,90.85 
2006/1/24,33621.65,24.00,458.49,290.39,--,00:00,166.81,30741.50,91.43 
2006/1/25,33621.65,16.70,545.40,288.30,--,00:00,166.92,30839.10,91.72 
2006/1/26,33621.65,21.60,518.59,429.69,--,00:00,167.06,30963.50,92.09 
2006/1/27,33621.65,12.60,556.64,449.94,--,00:00,167.13,31025.80,92.28 
2006/1/28,33621.65,4.80,423.27,449.97,--,00:00,167.02,30928.00,91.99 
2006/1/29,33621.65,14.80,364.41,622.11,--,00:00,166.94,30856.90,91.78 
2006/1/30,33621.65,16.10,431.80,449.50,--,00:00,166.92,30839.20,91.72 
2006/1/31,33621.65,5.60,424.63,451.23,--,00:00,166.88,30803.70,91.62 
2006/2/1,33621.65,3.70,336.10,451.30,--,00:00,166.72,30661.80,91.2 
2006/2/2,33621.65,0.10,248.63,452.03,--,00:00,166.47,30440.60,90.54 
2006/2/3,33621.65,0.10,206.10,452.90,--,00:00,166.18,30184.70,89.78 
2006/2/4,33621.65,20.30,198.91,453.91,--,00:00,165.92,29956.00,89.1 
2006/2/5,33621.65,12.20,305.18,454.28,--,00:00,165.78,29833.20,88.73 
2006/2/6,33621.65,5.90,206.10,452.90,--,00:00,165.73,29789.40,88.6 
2006/2/7,33621.65,0.00,248.97,272.77,--,00:00,165.73,29789.40,88.6 
2006/2/8,33621.65,0.70,178.21,291.91,--,00:00,165.53,29614.40,88.08 
2006/2/9,33621.65,1.10,152.85,292.45,--,00:00,165.35,29457.00,87.61 
2006/2/10,33621.65,1.00,153.20,457.50,--,00:00,164.99,29143.80,86.68 
