Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2010/1/1,49159.00,5.20,29.20,6.20,--,23:00,207.20,19720.00,40.11 
2010/1/2,49159.00,0.00,12.00,0.00,--,23:00,207.22,19743.00,40.16 
2010/1/3,49159.00,9.70,28.20,5.20,--,23:00,207.28,19812.00,40.3 
2010/1/4,49159.00,0.40,57.00,0.00,--,23:00,207.29,19823.00,40.32 
2010/1/5,49159.00,0.00,28.20,5.20,--,23:00,207.31,19846.00,40.37 
2010/1/6,49159.00,0.00,23.90,0.00,--,23:00,207.32,19858.00,40.4 
2010/1/7,49159.00,0.10,16.20,5.20,--,23:00,207.35,19892.00,40.46 
2010/1/8,49159.00,8.10,35.00,0.00,--,23:00,207.38,19927.00,40.54 
2010/1/9,49159.00,1.40,40.00,6.00,--,23:00,207.40,19538.00,39.74 
2010/1/10,49159.00,0.00,23.00,0.00,--,23:00,207.42,19973.00,40.63 
2010/1/11,49159.00,0.00,28.20,5.20,--,23:00,207.42,19973.00,40.63 
2010/1/12,49159.00,0.40,35.60,81.60,--,23:00,207.34,19881.00,40.44 
2010/1/13,49159.00,0.10,35.40,150.40,--,23:00,207.25,19777.00,40.23 
2010/1/14,49159.00,0.00,30.40,156.40,--,23:00,207.14,19652.00,39.98 
2010/1/15,49159.00,0.00,31.60,156.60,--,23:00,207.03,19527.00,39.72 
2010/1/16,49159.00,0.00,29.20,153.20,--,23:00,206.92,19402.00,39.47 
2010/1/17,49159.00,0.00,30.80,154.80,--,23:00,206.82,19290.00,39.24 
2010/1/18,49159.00,0.00,32.00,156.00,--,23:00,206.70,19155.00,38.97 
2010/1/19,49159.00,0.00,33.40,156.40,--,23:00,206.58,19021.00,38.69 
2010/1/20,49159.00,0.00,40.40,163.40,--,23:00,206.45,18876.00,38.4 
2010/1/21,49159.00,0.00,33.60,155.60,--,23:00,206.42,18843.00,38.33 
2010/1/22,49159.00,0.00,40.00,217.00,--,23:00,206.19,18589.00,37.81 
2010/1/23,49159.00,0.00,27.20,192.20,--,23:00,206.03,18413.00,37.46 
