Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2020/1/1,51002.00,1.20,16.00,0.00,--,23:00,220.16,33801.00,66.27 
2020/1/2,51002.00,0.00,32.00,0.00,--,23:00,220.18,33833.00,66.34 
2020/1/3,51002.00,0.00,16.00,0.00,--,23:00,220.19,33849.00,66.37 
2020/1/4,51002.00,0.10,16.00,0.00,--,23:00,220.20,33865.00,66.4 
2020/1/5,51002.00,0.00,16.00,0.00,--,23:00,220.21,33881.00,66.43 
2020/1/6,51002.00,0.00,16.00,0.00,--,23:00,220.22,33897.00,66.46 
2020/1/7,51002.00,0.00,16.00,0.00,--,23:00,220.23,33913.00,66.49 
2020/1/8,51002.00,0.00,16.00,0.00,--,23:00,220.24,33929.00,66.52 
2020/1/9,50849.00,0.00,17.00,0.00,--,23:00,220.25,33810.00,66.49 
2020/1/10,50849.00,0.00,17.40,0.00,--,23:00,220.26,33826.00,66.52 
2020/1/11,50849.00,--,16.00,0.00,--,23:00,220.27,33842.00,66.55 
2020/1/12,50849.00,0.00,16.00,0.00,--,23:00,220.28,33858.00,66.59 
2020/1/13,50849.00,0.00,16.00,0.00,--,23:00,220.28,33858.00,66.59 
2020/1/14,50849.00,0.00,16.00,0.00,--,23:00,220.30,33890.00,66.65 
2020/1/15,50849.00,0.00,16.00,257.00,--,23:00,220.17,33681.00,66.24 
2020/1/16,50849.00,0.00,14.00,439.00,--,23:00,219.90,33248.00,65.39 
2020/1/17,50849.00,0.00,17.00,439.00,--,23:00,219.63,32818.00,64.54 
2020/1/18,50849.00,0.00,10.00,439.00,--,23:00,219.36,32389.00,63.7 
2020/1/19,50849.00,0.00,13.00,439.00,--,23:00,219.09,31963.00,62.86 
2020/1/20,50849.00,0.00,16.80,440.80,--,23:00,218.82,31538.00,62.02 
2020/1/21,50849.00,0.00,10.60,441.60,--,23:00,218.55,31116.00,61.19 
2020/1/22,50849.00,0.00,14.80,255.80,--,23:00,218.37,30835.00,60.64 
2020/1/23,50849.00,0.00,7.00,0.00,--,23:00,218.38,30851.00,60.67 
2020/1/24,50849.00,0.00,8.00,0.00,--,23:00,218.39,30866.00,60.7 
2020/1/25,50849.00,0.00,8.00,0.00,--,23:00,218.39,30866.00,60.7 
2020/1/26,50849.00,16.30,8.00,0.00,--,23:00,218.40,30882.00,60.73 
2020/1/27,50849.00,0.00,8.00,0.00,--,23:00,218.40,30882.00,60.73 
2020/1/28,50849.00,1.40,7.00,0.00,--,23:00,218.41,30897.00,60.76 
2020/1/29,50849.00,0.00,10.30,219.80,--,23:00,218.29,30711.00,60.4 
2020/1/30,50849.00,0.00,15.90,442.40,--,23:00,218.05,30339.00,59.66 
2020/1/31,50849.00,0.00,10.30,426.30,--,23:00,217.74,29860.00,58.72 
2020/2/1,50849.00,0.00,11.00,440.00,--,23:00,217.46,29431.00,57.88 
2020/2/2,50849.00,0.00,7.90,442.40,--,23:00,217.18,29004.00,57.04 
2020/2/3,50849.00,0.00,8.20,221.20,--,23:00,217.02,28761.00,56.56 
2020/2/4,50849.00,0.00,3.30,146.80,--,23:00,216.94,28640.00,56.32 
2020/2/5,50849.00,0.00,7.00,444.00,--,23:00,216.66,28218.00,55.49 
2020/2/6,50849.00,0.00,9.00,444.00,--,23:00,216.36,27768.00,54.61 
2020/2/7,50849.00,0.00,13.60,445.60,--,23:00,216.06,27321.00,53.73 
2020/2/8,50849.00,0.00,1.40,446.40,--,23:00,215.77,26891.00,52.88 
2020/2/9,50849.00,0.00,4.40,446.40,--,23:00,215.47,26448.00,52.01 
2020/2/10,50849.00,0.00,8.20,448.20,--,19:00,215.22,26082.00,51.29 
